#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,mean,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2023-05-15T14:07:51.298137827Z,2023-05-15T15:07:51.298137827Z,2023-05-15T14:16:50Z,14,0x5,OBD
,,0,2023-05-15T14:07:51.298137827Z,2023-05-15T15:07:51.298137827Z,2023-05-15T14:17:00Z,14,0x5,OBD
,,0,2023-05-15T14:07:51.298137827Z,2023-05-15T15:07:51.298137827Z,2023-05-15T14:17:10Z,14,0x5,OBD
,,0,2023-05-15T14:07:51.298137827Z,2023-05-15T15:07:51.298137827Z,2023-05-15T14:17:20Z,14,0x5,OBD
,,0,2023-05-15T14:07:51.298137827Z,2023-05-15T15:07:51.298137827Z,2023-05-15T14:17:30Z,16,0x5,OBD
,,0,2023-05-15T14:07:51.298137827Z,2023-05-15T15:07:51.298137827Z,2023-05-15T14:17:40Z,19,0x5,OBD
,,0,2023-05-15T14:07:51.298137827Z,2023-05-15T15:07:51.298137827Z,2023-05-15T14:17:50Z,21,0x5,OBD
,,0,2023-05-15T14:07:51.298137827Z,2023-05-15T15:07:51.298137827Z,2023-05-15T14:18:00Z,23,0x5,OBD
,,0,2023-05-15T14:07:51.298137827Z,2023-05-15T15:07:51.298137827Z,2023-05-15T14:18:10Z,25,0x5,OBD
,,0,2023-05-15T14:07:51.298137827Z,2023-05-15T15:07:51.298137827Z,2023-05-15T14:18:20Z,26.5,0x5,OBD
,,0,2023-05-15T14:07:51.298137827Z,2023-05-15T15:07:51.298137827Z,2023-05-15T14:18:30Z,28.5,0x5,OBD
,,0,2023-05-15T14:07:51.298137827Z,2023-05-15T15:07:51.298137827Z,2023-05-15T14:18:40Z,30,0x5,OBD
,,0,2023-05-15T14:07:51.298137827Z,2023-05-15T15:07:51.298137827Z,2023-05-15T14:18:50Z,31.5,0x5,OBD
,,0,2023-05-15T14:07:51.298137827Z,2023-05-15T15:07:51.298137827Z,2023-05-15T14:19:00Z,33.5,0x5,OBD
,,0,2023-05-15T14:07:51.298137827Z,2023-05-15T15:07:51.298137827Z,2023-05-15T14:19:10Z,35,0x5,OBD
,,0,2023-05-15T14:07:51.298137827Z,2023-05-15T15:07:51.298137827Z,2023-05-15T14:19:20Z,36,0x5,OBD
,,0,2023-05-15T14:07:51.298137827Z,2023-05-15T15:07:51.298137827Z,2023-05-15T14:19:50Z,38,0x5,OBD
,,0,2023-05-15T14:07:51.298137827Z,2023-05-15T15:07:51.298137827Z,2023-05-15T14:20:00Z,40.5,0x5,OBD
,,0,2023-05-15T14:07:51.298137827Z,2023-05-15T15:07:51.298137827Z,2023-05-15T14:20:50Z,44.25,0x5,OBD
,,0,2023-05-15T14:07:51.298137827Z,2023-05-15T15:07:51.298137827Z,2023-05-15T14:21:00Z,47,0x5,OBD
,,0,2023-05-15T14:07:51.298137827Z,2023-05-15T15:07:51.298137827Z,2023-05-15T14:21:10Z,47.5,0x5,OBD
,,0,2023-05-15T14:07:51.298137827Z,2023-05-15T15:07:51.298137827Z,2023-05-15T14:21:20Z,48,0x5,OBD
,,0,2023-05-15T14:07:51.298137827Z,2023-05-15T15:07:51.298137827Z,2023-05-15T14:21:30Z,49.5,0x5,OBD
,,0,2023-05-15T14:07:51.298137827Z,2023-05-15T15:07:51.298137827Z,2023-05-15T14:21:40Z,50.5,0x5,OBD
